"segmentid","street","direction","count_mm"
"32792","WEST 14 STREET","WB","672"
"32793","5 AVENUE","SB","672"
"32794","EAST 14 STREET","EB","672"
"32794","EAST 14 STREET","WB","672"
"32802","EAST 14 STREET","WB","672"
"32807","EAST 14 STREET","EB","672"
"32807","EAST 14 STREET","WB","672"
"32828","AVENUE OF THE AMERICAS","NB","864"
"32830","WEST 23 STREET","EB","864"
"32830","WEST 23 STREET","WB","864"
"32831","AVENUE OF THE AMERICAS","NB","864"
"32851","GRAND STREET","EB","672"
"32851","GRAND STREET","WB","672"
"32914","EAST 9 STREET","WB","672"
"32932","3 AVENUE","NB","864"
"32932","3 AVENUE","SB","864"
"32937","EAST 10 STREET","EB","672"
"32943","EAST 14 STREET","EB","672"
"32943","EAST 14 STREET","WB","672"
"32947","EAST 14 STREET","WB","672"
"32950","3 AVENUE","NB","672"
"32950","3 AVENUE","SB","672"
"32952","3 AVENUE","NB","672"
"32952","3 AVENUE","SB","672"
"32953","EAST 14 STREET","EB","672"
"32953","EAST 14 STREET","WB","672"
"33001","5 AVENUE","SB","864"
"33004","WEST 23 STREET","EB","864"
"33004","WEST 23 STREET","WB","864"
"33007","BROADWAY","SB","864"
"33009","5 AVENUE","SB","864"
"33012","5 AVENUE","SB","1728"
"33018","5 AVENUE","SB","864"
"33042","DELANCEY STREET","WB","672"
"33053","PITT STREET","NB","672"
"33115","2 AVENUE","SB","864"
"33118","2 AVENUE","SB","672"
"33119","1 AVENUE","NB","864"
"33121","1 AVENUE","NB","864"
"33123","1 AVENUE","NB","672"
"33128","2 AVENUE","SB","672"
"33129","EAST 14 STREET","EB","672"
"33129","EAST 14 STREET","WB","672"
"33166","LEXINGTON AVENUE","SB","864"
"33167","EAST 23 STREET","EB","864"
"33167","EAST 23 STREET","WB","864"
"33170","3 AVENUE","NB","864"
"33170","3 AVENUE","SB","864"
"33172","3 AVENUE","NB","864"
"33172","3 AVENUE","SB","864"
"33173","EAST 23 STREET","EB","864"
"33173","EAST 23 STREET","WB","864"
"33184","LEXINGTON AVENUE","SB","864"
"33186","LEXINGTON AVENUE","SB","864"
"33255","AVENUE B","NB","864"
"33255","AVENUE B","SB","864"
"33278","2 AVENUE","SB","864"
"33280","2 AVENUE","SB","864"
"33290","2 AVENUE","SB","864"
"33291","EAST 23 STREET","EB","864"
"33291","EAST 23 STREET","WB","864"
"33295","EAST 25 STREET","WB","864"
"33393","10 AVENUE","NB","864"
"33451","9 AVENUE","SB","672"
"33464","WEST 23 STREET","EB","864"
"33464","WEST 23 STREET","WB","864"
"33539","8 AVENUE","NB","864"
"33540","WEST 23 STREET","EB","864"
"33540","WEST 23 STREET","WB","864"
"33638","WEST 23 STREET","EB","864"
"33638","WEST 23 STREET","WB","864"
"33639","7 AVENUE","SB","864"
"33882","EAST 26 STREET","EB","864"
"34079","BROADWAY","SB","864"
"34122","COLUMBUS AVENUE","SB","6719"
"34156","EAST 38 STREET","EB","768"
"34197","EAST 45 STREET","WB","768"
"34257","CENTRAL PARK WEST","NB","4499"
"34257","CENTRAL PARK WEST","SB","1151"
"34332","WEST END AVENUE","NB","1455"
"34332","WEST END AVENUE","SB","1454"
"34338","AMSTERDAM AV","NB","1344"
"34338","AMSTERDAM AVENUE","NB","6503"
"34361","RIVERSIDE BOULEVARD","NB","382"
"34392","AMSTERDAM AV","NB","1344"
"34404","WEST END AVENUE","NB","1344"
"34405","WEST 72 STREET","EB","1726"
"34405","WEST 72 STREET","WB","1633"
"34406","WEST END AVENUE","SB","1344"
"34410","WEST END AVENUE","NB","1344"
"34421","WEST END AVENUE","SB","1344"
"34497","AMSTERDAM AV","NB","1344"
"34502","COLUMBUS AVENUE","SB","1344"
"34505","WEST 72 STREET","EB","1721"
"34505","WEST 72 STREET","WB","1530"
"34506","BROADWAY","SB","4326"
"34520","AMSTERDAM AVENUE","NB","1344"
"34526","WEST END AVENUE","NB","1344"
"34543","WEST END AVENUE","SB","1344"
"34645","1 AVENUE","NB","864"
"34651","EAST 25 STREET","WB","864"
"34858","KENT AVENUE","NB","864"
"34885","KENT AVENUE","NB","385"
"34886","NORTH 4 STREET","WB","386"
"34958","BERRY STREET","NB","1348"
"35042","CLAY STREET","EB","864"
"35093","NORTH 10 STREET","WB","782"
"35094","DRIGGS AVENUE","SB","786"
"35105","BERRY STREET","NB","1345"
"35151","GREENPOINT AVENUE","EB","864"
"35151","GREENPOINT AVENUE","WB","864"
"35158","MANHATTAN AVENUE","SB","396"
"35164","MANHATTAN AVENUE","NB","396"
"35207","BORDEN AVENUE","EB","389"
"35253","NASSAU AVENUE","NB","1350"
"35359","11 STREET","NB","386"
"35420","MEEKER AVENUE","NB","1435"
"35499","NASSAU AVENUE","EB","861"
"35499","NASSAU AVENUE","WB","863"
"35517","GREENPOINT AVENUE","EB","1318"
"35517","GREENPOINT AVENUE","WB","1344"
"35569","MANHATTAN AVENUE","NB","672"
"35597","MEEKER AVENUE","SB","1437"
"35598","GRAHAM AVENUE","NB","672"
"35598","GRAHAM AVENUE","SB","672"
"35619","MEEKER AVENUE","NB","1433"
"35626","HUMBOLDT STREET","SB","672"
"35631","NEWEL STREET","NB","862"
"35636","DRIGGS AVENUE","WB","860"
"35637","DIAMOND STREET","SB","863"
"35639","DRIGGS AVENUE","WB","859"
"35648","DIAMOND STREET","SB","863"
"35649","NASSAU AVENUE","EB","859"
"35649","NASSAU AVENUE","WB","866"
"35656","NORTH HENRY STREET","NB","672"
"35669","HUMBOLDT STREET","SB","672"
"35671","GREENPOINT AVENUE","EB","3267"
"35671","GREENPOINT AVENUE","WB","1545"
"35675","RUSSELL STREET","NB","672"
"35676","NORTH HENRY STREET","NB","672"
"35720","SKILLMAN AVENUE","NB","1538"
"35720","SKILLMAN AVENUE","SB","1539"
"35732","49 AVENUE","EB","864"
"35732","49 AVENUE","WB","864"
"35746","2 AVENUE","SB","1344"
"35767","EAST 38 STREET","EB","768"
"35868","AVENUE OF THE AMERICAS","NB","4484"
"35869","CENTRAL PARK SOUTH","EB","4400"
"35876","CENTER DRIVE","NB","4481"
"35914","2 AVENUE","SB","1344"
"35944","2 AVENUE","SB","1344"
"35951","EAST 45 STREET","WB","768"
"36024","EAST 59 STREET","EB","768"
"36026","5 AVENUE","SB","5394"
"36112","2 AVENUE","SB","1344"
"36140","3 AVENUE","NB","676"
"36142","3 AVENUE","NB","675"
"36145","3 AVENUE","NB","674"
"36162","MADISON AVENUE","NB","4400"
"36164","MADISON AVENUE","NB","1428"
"36246","2 AVENUE","SB","1344"
"36248","2 AVENUE","SB","1344"
"36256","2 AVENUE","SB","1344"
"36258","2 AVENUE","SB","1344"
"36260","2 AVENUE","SB","1344"
"36262","EAST 57 STREET","EB","1344"
"36262","EAST 57 STREET","WB","1344"
"36263","2 AVENUE","SB","1344"
"36264","EAST 59 STREET","EB","768"
"36273","EAST 59 STREET","EB","768"
"36274","3 AVENUE","NB","1374"
"36277","LEXINGTON AVENUE","SB","2334"
"36368","2 AVENUE","SB","1344"
"36375","2 AVENUE","SB","2923"
"36403","1 AVENUE","NB","3015"
"36419","3 AVENUE","NB","1344"
"36440","EAST 72 STREET","EB","672"
"36440","EAST 72 STREET","WB","672"
"36517","YORK AVENUE","NB","1535"
"36517","YORK AVENUE","SB","1533"
"36551","1 AVENUE","NB","999"
"36568","1 AVENUE","NB","996"
"36569","3 AVENUE","NB","1344"
"36578","EAST 72 STREET","EB","672"
"36578","EAST 72 STREET","WB","672"
"36665","1 AVENUE","NB","994"
"36678","1 AVENUE","NB","992"
"36727","44 DRIVE","EB","1344"
"36814","21 STREET","NB","1535"
"36814","21 STREET","SB","1533"
"36834","44 DRIVE","WB","1344"
"36843","11 STREET","NB","705"
"36843","11 STREET","SB","2049"
"37081","CENTRAL PARK WEST","NB","4498"
"37082","WEST 72 STREET","EB","1726"
"37082","WEST 72 STREET","WB","1726"
"37083","COLUMBUS AVENUE","SB","4606"
"37089","CENTRAL PARK WEST","SB","4317"
"37111","AMSTERDAM AV","NB","1344"
"37121","WEST END AVENUE","NB","1344"
"37123","WEST END AVENUE","SB","1344"
"37175","CPW 72 APPROACH","EB","4413"
"37175","CPW 72 APPROACH","WB","4414"
"37184","TERRACE DRIVE","WB","4506"
"37217","WEST 86 STREET","EB","672"
"37217","WEST 86 STREET","WB","672"
"37218","COLUMBUS AVENUE","SB","4232"
"37220","AMSTERDAM AV","NB","1344"
"37220","AMSTERDAM AVENUE","NB","4129"
"37252","WEST END AVENUE","NB","1344"
"37254","WEST END AVENUE","NB","1344"
"37254","WEST END AVENUE","SB","1344"
"37275","WEST END AVENUE","NB","1344"
"37275","WEST END AVENUE","SB","1344"
"37277","WEST END AVENUE","SB","1344"
"37302","WEST 81 STREET","EB","768"
"37302","WEST 81 STREET","WB","768"
"37312","CENTRAL PARK WEST","NB","2775"
"37312","CENTRAL PARK WEST","SB","2688"
"37313","WEST 86 STREET","EB","672"
"37313","WEST 86 STREET","WB","672"
"37314","CENTRAL PARK WEST","NB","1344"
"37314","CENTRAL PARK WEST","SB","2773"
"37340","AMSTERDAM AV","NB","1344"
"37340","AMSTERDAM AVENUE","NB","4127"
"37371","5 AVENUE","SB","4115"
"37372","EAST 72 STREET","EB","4720"
"37372","EAST 72 STREET","WB","672"
"37376","MADISON AVENUE","NB","4547"
"37411","WEST DRIVE","SB","1344"
"37425","CENTRAL PARK WEST","NB","4029"
"37427","COLUMBUS AVENUE","SB","4233"
"37438","MADISON AVENUE","NB","864"
"37449","LEXINGTON AVENUE","SB","864"
"37470","EAST 79 STREET","EB","768"
"37470","EAST 79 STREET","WB","768"
"37488","EAST 84 STREET","EB","672"
"37494","CENTRAL PARK WEST","SB","4028"
"37546","EAST 79 STREET","EB","768"
"37546","EAST 79 STREET","WB","768"
"37570","MADISON AVENUE","NB","672"
"37572","MADISON AVENUE","NB","4803"
"37581","5 AVENUE","SB","4134"
"37629","EAST 79 STREET","EB","768"
"37629","EAST 79 STREET","WB","768"
"37635","EAST 79 STREET","EB","768"
"37635","EAST 79 STREET","WB","768"
"37663","EAST 86 STREET","EB","672"
"37663","EAST 86 STREET","WB","672"
"37668","EAST 86 STREET","EB","672"
"37668","EAST 86 STREET","WB","672"
"37697","MADISON AVENUE","NB","5465"
"37705","5 AVENUE","SB","672"
"37706","5 AVENUE","SB","5568"
"37707","EAST 96 STREET","EB","672"
"37707","EAST 96 STREET","WB","672"
"37708","97 ST TRANSVERSE","WB","672"
"37709","5 AVENUE","SB","672"
"37710","EAST 97 STREET","WB","672"
"37714","MADISON AVENUE","NB","672"
"37758","EAST 86 STREET","EB","672"
"37758","EAST 86 STREET","WB","672"
"37801","MADISON AVENUE","NB","672"
"37869","EAST 86 STREET","EB","672"
"37869","EAST 86 STREET","WB","672"
"37910","LEXINGTON AVENUE","SB","864"
"38143","WEST END AVENUE","NB","1344"
"38145","WEST END AVENUE","SB","1344"
"38168","AMSTERDAM AV","NB","1344"
"38269","RIVERSIDE DRIVE","NB","673"
"38322","CENTRAL PARK WEST","NB","4037"
"38338","CATHEDRAL PARKWAY","EB","4029"
"38341","FREDERICK DOUGLASS BOULEVARD","SB","4036"
"38369","MORNINGSIDE DRIVE","EB","864"
"38369","MORNINGSIDE DRIVE","WB","864"
"38456","CENTRAL PARK POWELL BLVD APPR","SB","1344"
"38634","WEST 124 STREET","EB","864"
"38638","WEST 126 STREET","WB","864"
"38809","MADISON AVENUE","NB","1100"
"38839","MT MORRIS PARK WEST","SB","864"
"39634","SHORE BOULEVARD","EB","381"
"39636","SHORE BOULEVARD","WB","380"
"40611","AVENUE N","EB","395"
"40724","AVENUE R","EB","387"
"40727","AVENUE R","WB","387"
"40918","KINGS HIGHWAY","SB","672"
"40927","TROY AVENUE","SB","672"
"41159","FLATLANDS AVENUE","NB","672"
"41167","AVENUE J","EB","672"
"41264","EAST 53 STREET","NB","672"
"41271","AVENUE J","WB","672"
"41273","FLATLANDS AVENUE","SB","672"
"41282","EAST 53 STREET","SB","672"
"41284","EAST 54 STREET","SB","672"
"41338","AVENUE N","EB","296"
"41344","AVENUE N","WB","294"
"41351","EAST 59 STREET","SB","296"
"41370","FLATLANDS AVENUE","NB","672"
"41373","EAST 58 STREET","NB","389"
"41387","FLATLANDS AVENUE","EB","387"
"41387","FLATLANDS AVENUE","SB","672"
"41389","FLATLANDS AVENUE","NB","672"
"41389","FLATLANDS AVENUE","WB","388"
"41390","EAST 59 STREET","SB","383"
"41393","FLATLANDS AVENUE","SB","672"
"41422","EAST 61 STREET","SB","675"
"41424","AVENUE U","EB","675"
"41425","AVENUE U","WB","675"
"41446","RALPH AVENUE","NB","672"
"41466","RALPH AVENUE","SB","672"
"41468","RALPH AVENUE","NB","672"
"41468","RALPH AVENUE","SB","672"
"41788","WINTHROP STREET","EB","864"
"41788","WINTHROP STREET","WB","864"
"41802","GLENWOOD ROAD","EB","382"
"41804","GLENWOOD ROAD","WB","381"
"41811","EAST 40 STREET","SB","381"
"42163","AVENUE D","EB","668"
"42165","AVENUE D","WB","666"
"42180","EAST 52 STREET","SB","670"
"42359","LENOX ROAD","EB","864"
"42359","LENOX ROAD","WB","864"
"42362","REMSEN AVENUE","NB","864"
"42362","REMSEN AVENUE","SB","864"
"42364","REMSEN AVENUE","NB","864"
"42364","REMSEN AVENUE","SB","864"
"42424","CANARSIE LANE","NB","672"
"42424","CANARSIE LANE","SB","672"
"42441","RALPH AVENUE","NB","672"
"42443","EAST 83 STREET","NB","672"
"42446","DITMAS AVENUE","WB","672"
"42660","FLATLANDS AVENUE","NB","672"
"42663","FLATLANDS AVENUE","SB","672"
"42701","FARRAGUT ROAD","EB","298"
"42703","EAST 88 STREET","SB","296"
"42841","FARRAGUT ROAD","WB","296"
"42985","KINGSTON AVENUE","NB","864"
"43079","LINCOLN PLACE","EB","374"
"43126","MARCUS GARVEY BOULEVARD","SB","864"
"43165","SCHENECTADY AVENUE","SB","374"
"43179","SCHENECTADY AVENUE","SB","692"
"43218","LEWIS AVENUE","NB","864"
"43550","JEFFERSON AVENUE","EB","672"
"43556","HANCOCK STREET","WB","672"
"43607","EAST NEW YORK AVENUE","WB","672"
"43937","CHAUNCEY STREET","EB","384"
"43940","ROCKAWAY AVENUE","NB","864"
"43940","ROCKAWAY AVENUE","SB","864"
"43952","BROADWAY","SB","387"
"43956","BUSHWICK AVENUE","NB","672"
"43956","BUSHWICK AVENUE","SB","672"
"44001","BELMONT AVENUE","EB","1351"
"44075","BROADWAY","NB","186"
"44135","GRAHAM AVENUE","NB","672"
"44135","GRAHAM AVENUE","SB","672"
"44163","GRAHAM AVENUE","NB","672"
"44165","GRAHAM AVENUE","SB","672"
"44168","JOHNSON AVENUE","WB","672"
"44195","HUMBOLDT STREET","SB","672"
"44195","HUMBOLDT STREET","WB","864"
"44285","MYRTLE AVENUE","EB","709"
"44291","BROADWAY","EB","672"
"44291","BROADWAY","WB","672"
"44353","GRAND STREET","EB","672"
"44399","BROADWAY","NB","708"
"44400","MYRTLE AVENUE","WB","713"
"44404","BUSHWICK AVENUE","NB","672"
"44404","BUSHWICK AVENUE","SB","672"
"44476","MORGAN AVENUE","EB","864"
"44476","MORGAN AVENUE","WB","864"
"44487","MORGAN AVENUE","NB","672"
"44497","MORGAN AVENUE","SB","672"
"44504","VANDERVOORT AVENUE","SB","672"
"44521","LAFAYETTE AVENUE","EB","672"
"44554","MYRTLE AVENUE","EB","715"
"44564","EVERGREEN AVENUE","NB","714"
"44565","MYRTLE AVENUE","EB","672"
"44565","MYRTLE AVENUE","WB","672"
"44643","METROPOLITAN AVENUE BRIDGE","EB","2217"
"44643","METROPOLITAN AVENUE BRIDGE","WB","2219"
"44695","DEKALB AVENUE","NB","672"
"44695","DEKALB AVENUE","SB","672"
"44714","MYRTLE AVENUE","EB","719"
"44717","CENTRAL AVENUE","SB","718"
"44738","JEFFERSON STREET","NB","683"
"44742","KNICKERBOCKER AVENUE","NB","681"
"44742","KNICKERBOCKER AVENUE","WB","681"
"44747","STARR STREET","NB","701"
"44834","BUSHWICK AVENUE","NB","672"
"44834","BUSHWICK AVENUE","SB","672"
"44864","MYRTLE AVENUE","EB","720"
"44865","WILSON AVENUE","NB","385"
"44866","STANHOPE STREET","WB","384"
"44875","WILSON AVENUE","NB","672"
"44875","WILSON AVENUE","SB","672"
"44878","STOCKHOLM STREET","EB","384"
"44882","DEKALB AVENUE","EB","864"
"44882","DEKALB AVENUE","WB","864"
"44883","KNICKERBOCKER AVENUE","NB","384"
"44886","KNICKERBOCKER AVENUE","EB","672"
"44892","IRVING AVENUE","EB","768"
"44910","FLUSHING AVENUE","WB","672"
"44999","MYRTLE AVENUE","WB","720"
"45010","MYRTLE AVENUE","EB","672"
"45014","GREENE AVENUE","EB","864"
"45015","KNICKERBOCKER AVENUE","NB","672"
"45016","MYRTLE AVENUE","WB","672"
"45017","KNICKERBOCKER AVENUE","NB","672"
"45020","HIMROD STREET","NB","672"
"45022","HARMAN STREET","SB","672"
"45023","IRVING AVENUE","SB","666"
"45028","DEKALB AVENUE","NB","672"
"45028","DEKALB AVENUE","SB","672"
"45031","WYCKOFF AVENUE","NB","672"
"45031","WYCKOFF AVENUE","SB","672"
"45052","DEKALB AVENUE","NB","1560"
"45069","FLUSHING AVENUE","NB","864"
"45069","FLUSHING AVENUE","SB","864"
"45120","BLEECKER STREET","WB","792"
"45121","KNICKERBOCKER AVENUE","NB","788"
"45122","MYRTLE AVENUE","EB","672"
"45122","MYRTLE AVENUE","WB","672"
"45124","KNICKERBOCKER AVENUE","NB","1344"
"45132","KNICKERBOCKER AVENUE","EB","672"
"45143","MYRTLE AVENUE","EB","672"
"45144","IRVING AVENUE","SB","672"
"45149","MYRTLE AVENUE","WB","672"
"45150","WYCKOFF AVENUE","NB","668"
"45150","WYCKOFF AVENUE","SB","669"
"45154","ST NICHOLAS AVENUE","NB","671"
"45154","ST NICHOLAS AVENUE","SB","673"
"45165","GREENE AVENUE","NB","1554"
"45171","DE KALB AVENUE","SB","1557"
"45174","CYPRESS AVENUE","NB","674"
"45174","CYPRESS AVENUE","SB","674"
"45180","SENECA AVENUE","NB","672"
"45180","SENECA AVENUE","SB","672"
"45231","WILSON AVENUE","NB","672"
"45231","WILSON AVENUE","SB","672"
"45239","CORNELIA STREET","EB","379"
"45241","PALMETTO STREET","EB","687"
"45244","IRVING AVENUE","EB","768"
"45244","IRVING AVENUE","SB","685"
"45262","LINDEN STREET","NB","1440"
"45264","MYRTLE AVENUE","EB","672"
"45265","WYCKOFF AVENUE","EB","672"
"45269","WYCKOFF AVENUE","WB","672"
"45270","PALMETTO STREET","SB","672"
"45271","MYRTLE AVENUE","WB","672"
"45322","FLUSHING AVENUE","EB","864"
"45322","FLUSHING AVENUE","WB","864"
"45360","KNICKERBOCKER AVENUE","NB","672"
"45362","KNICKERBOCKER AVENUE","EB","672"
"45367","JEFFERSON AVENUE","EB","672"
"45369","HANCOCK STREET","WB","672"
"45376","IRVING AVENUE","SB","672"
"45380","IRVING AVENUE","SB","377"
"45387","CORNELIA STREET","NB","1440"
"45388","WYCKOFF AVENUE","NB","672"
"45388","WYCKOFF AVENUE","SB","672"
"45396","WYCKOFF AVENUE","SB","671"
"45402","MYRTLE AVENUE","EB","672"
"45403","ST NICHOLAS AVENUE","SB","672"
"45405","MYRTLE AVENUE","NB","864"
"45405","MYRTLE AVENUE","SB","864"
"45405","MYRTLE AVENUE","WB","672"
"45497","METROPOLITAN AVENUE","EB","864"
"45497","METROPOLITAN AVENUE","WB","864"
"46223","FLATLANDS AVENUE","NB","672"
"46224","REMSEN AVENUE","EB","672"
"46227","FLATLANDS AVENUE","SB","672"
"46273","ROCKAWAY PARKWAY","SB","672"
"46278","ROCKAWAY AVENUE","NB","672"
"46278","ROCKAWAY AVENUE","SB","672"
"46349","REMSEN AVENUE","NB","864"
"46349","REMSEN AVENUE","SB","864"
"46364","EAST 93 STREET","SB","383"
"46365","AVENUE K","EB","379"
"46367","AVENUE J","EB","384"
"46370","EAST 92 STREET","NB","382"
"46371","AVENUE J","WB","385"
"46383","EAST 95 STREET","SB","293"
"46390","FLATLANDS AVENUE","EB","672"
"46393","EAST 96 STREET","NB","672"
"46394","FLATLANDS AVENUE","EB","672"
"46397","ROCKAWAY PARKWAY","NB","672"
"46398","FLATLANDS AVENUE","WB","672"
"46402","ROCKAWAY PARKWAY","SB","672"
"46404","GLENWOOD ROAD","EB","672"
"46407","ROCKAWAY PARKWAY","NB","672"
"46412","ROCKAWAY PARKWAY","SB","672"
"46472","AVENUE L","EB","297"
"46486","EAST 92 STREET","NB","296"
"46487","AVENUE L","EB","365"
"46487","AVENUE L","WB","298"
"46489","AVENUE L","WB","383"
"46496","EAST 94 STREET","NB","379"
"46497","AVENUE K","EB","292"
